creator KDesp73
scale 0.5
player 2.00 3.00
door 92.00 50.00
ghost 50.00 21.00
ghost 78.00 7.00
ghost 20.00 27.00
ghost 30.00 36.00
ghost 63.00 41.00
ghost 83.00 24.00
ghost 21.00 2.00
platform 0.00 53.00 96.00
platform 1.00 5.00 8.00
platform 12.00 11.00 7.00
platform 20.00 23.00 11.00
platform 7.00 38.00 11.00
platform 24.00 45.00 14.00
platform 44.00 38.00 16.00
platform 38.00 26.00 18.00
platform 38.00 16.00 18.00
platform 22.00 16.00 10.00
platform 57.00 11.00 17.00
platform 63.00 24.00 13.00
platform 68.00 36.00 11.00
platform 66.00 47.00 20.00
platform 44.00 47.00 13.00
platform 4.00 49.00 13.00
platform 4.00 41.00 8.00
platform 4.00 29.00 8.00
platform 21.00 32.00 7.00
platform 27.00 39.00 12.00
platform 4.00 19.00 9.00
platform 25.00 7.00 15.00
platform 59.00 5.00 13.00
platform 74.00 18.00 14.00
platform 75.00 31.00 13.00
platform 56.00 31.00 10.00
platform 33.00 32.00 11.00
platform 16.00 41.00 10.00
platform 78.00 41.00 16.00
platform -1.00 -1.00 1.00
